wdid,logg,mass
2MASS J13305791+4552244,8.09,0.66
2MASS J13305820+0127065,7.97,0.58
2MASS J13340001+1054526,7.23,0.28
2MASS J13360863+1501431,8.05,0.64
2MASS J13361306+1246129,7.86,0.53
2MASS J13372274+2028547,7.73,0.49
2MASS J13373231+0828154,7.71,0.47
2MASS J13391803+5937523,7.67,0.5
2MASS J13400805+0822485,8.26,0.765
2MASS J13405101+3210157,8.36,0.83
2MASS J13455766+3300509,8.58,0.97
2MASS J13472585+0848575,8.06,0.64
2MASS J13484164+1834107,7.96,0.59
2MASS J13501259+2740198,7.64,0.46
2MASS J13503954+2615117,7.74,0.49
2MASS J13593098-1010293,7.91,0.565
2MASS J13593188+0544208,7.6,0.42
2MASS J14020252+2525518,7.32,0.39
2MASS J14092326+3710488,8.13,0.72
2MASS J14122061+6541234,7.925,0.59
2MASS J14145172-0132424,8.27,0.78
2MASS J14163571+3600066,7.91,0.57
2MASS J14192731+4706566,7.985,0.64
2MASS J14222661+2346280,7.66,0.41
2MASS J14244053+4929580,7.28,0.39
2MASS J14252284+2109406,7.72,0.47
2MASS J14261028+6001533,7.56,0.41
2MASS J14272630+1143477,8.33,0.83
2MASS J14295117+5759492,8.75,1.07
2MASS J14351916+3629520,8.68,1.02
2MASS J14355165+0432097,6.41,0.16
2MASS J14364960+3237344,8.09,0.7
2MASS J14371765+2428032,7.56,0.42
2MASS J14372214+3809078,7.59,0.43
2MASS J14374669+5737059,8.328,0.815
2MASS J14380915+3309052,7.82,0.53
2MASS J14414914+3602257,7.6,0.42
2MASS J14465554+1328102,7.71,0.48
2MASS J14480132+2153432,7.61,0.44
2MASS J14530577+0010482,8.55,0.95
2MASS J14531771+3123455,8.04,0.65
2MASS J14552773+6115044,7.52,0.41
2MASS J14553064+1703176,7.75,0.48
2MASS J14561166+5921385,7.31,0.3
2MASS J14593368+3442351,7.88,0.58
2MASS J15010232+1504297,7.47,0.35
2MASS J15043887+3214436,7.9,0.59
2MASS J15064812+0027164,8.11,0.71
2MASS J15065759-0120220,7.68,0.45
2MASS J15181797+4553345,8.59,0.97
2MASS J15185244+0744597,7.59,0.43
2MASS J15200286+0812306,8.135,0.7
2MASS J15211698+4201592,7.58,0.47
2MASS J15212174+3211119,8.36,0.83
2MASS J15251790+3629456,7.94,0.56
2MASS J15271643+2425389,7.57,0.41
2MASS J15271727+0024129,7.44,0.34
2MASS J15280490+3310124,7.96,0.59
2MASS J15295255+5509548,8.0,0.6
2MASS J15314080+1125257,7.84,0.52
2MASS J15364254+2107475,7.78,0.56
2MASS J15391469+2637106,7.47,0.37
2MASS J15392426+0135372,8.02,0.61
2MASS J15393462+0922215,8.28,0.79
2MASS J15413648+2716351,8.21,0.73
2MASS J15434402+0601340,6.83,0.18
2MASS J15465203+4922160,7.63,0.45
2MASS J15481170+3128403,8.03,0.63
2MASS J15484381+3727499,8.37,0.84
2MASS J15495959+5349109,7.41,0.39
2MASS J15504053+0521503,7.895,0.55
2MASS J15513578+3414402,7.48,0.45
2MASS J15545024+3254137,8.036,0.624
2MASS J15550198+2444220,6.13,0.08
2MASS J15572071+1442179,7.545,0.38
2MASS J15574268+3628208,8.38,0.85
2MASS J15580850+2642256,8.555,0.955
2MASS J15583962+0827200,8.13,0.73
2MASS J16033321+5411581,7.43,0.36
2MASS J16054018+4610458,7.99,0.65
2MASS J16063589+2331439,8.16,0.75
2MASS J16064503+2847259,8.06,0.65
2MASS J16082457+2855251,8.73,1.06
2MASS J16091598+2735598,7.9,0.57
2MASS J16123436+1558115,8.23,0.75
2MASS J16150551+2357463,8.11,0.67
2MASS J16235445+6306403,8.64,1.0
2MASS J16265219+1415224,7.21,0.27
2MASS J16282363+2441594,7.6,0.47
2MASS J16301446+1252142,7.99,0.63
2MASS J16354474+6201566,7.81,0.52
2MASS J16372576+2510274,8.15,0.71
2MASS J16382476+2927016,7.36,0.35
2MASS J16461253+2324086,8.0,0.63
2MASS J16475041+2501445,8.44,0.89
2MASS J16481235+2811232,8.04,0.63
2MASS J16490635+3858336,7.37,0.39
2MASS J16580233+3916109,8.06,0.64
2MASS J17010610+3425336,5.0,0.0
2MASS J17012737+2533027,8.65,1.01
2MASS J17094712+2931118,7.6,0.42
2MASS J17143571+2725398,7.6,0.48
